ticker,tp_pct,sl_pct,trades,win_rate,avg_pnl,avg_win,avg_loss,best,worst,avg_hold,final_cap,total_ret,cagr,max_dd,calmar,tp_hits,sl_hits,score_exits,time_exits
KARURVYSYA.NS,3.0,5.0,56,60.7,1.7,6.22,-5.29,20.06,-10.94,8.6,229266.29,129.27,13.79,23.42,0.59,33,12,11,0
ASTERDM.NS,2.0,5.0,66,60.6,1.38,5.21,-4.53,17.06,-8.95,7.8,222808.5,122.81,13.28,29.51,0.45,41,14,11,0
ASTERDM.NS,3.0,10.0,58,60.3,1.46,5.56,-4.77,17.06,-9.9,11.5,210359.1,110.36,12.27,24.59,0.5,34,0,21,3
ASTERDM.NS,3.0,25.0,58,60.3,1.46,5.56,-4.77,17.06,-9.9,11.5,210359.1,110.36,12.27,24.59,0.5,34,0,21,3
ASTERDM.NS,3.0,15.0,58,60.3,1.46,5.56,-4.77,17.06,-9.9,11.5,210359.1,110.36,12.27,24.59,0.5,34,0,21,3
ASTERDM.NS,3.0,20.0,58,60.3,1.46,5.56,-4.77,17.06,-9.9,11.5,210359.1,110.36,12.27,24.59,0.5,34,0,21,3
BHARTIARTL.NS,2.0,15.0,63,60.3,0.56,3.14,-3.36,6.53,-10.74,9.0,136079.98,36.08,4.91,20.43,0.24,36,0,27,0
BHARTIARTL.NS,2.0,25.0,63,60.3,0.56,3.14,-3.36,6.53,-10.74,9.0,136079.98,36.08,4.91,20.43,0.24,36,0,27,0
BHARTIARTL.NS,2.0,20.0,63,60.3,0.56,3.14,-3.36,6.53,-10.74,9.0,136079.98,36.08,4.91,20.43,0.24,36,0,27,0
BHARTIARTL.NS,2.0,10.0,63,60.3,0.56,3.14,-3.36,6.53,-10.74,9.0,136079.98,36.08,4.91,20.43,0.24,36,0,27,0
CHOLAFIN.NS,2.0,5.0,62,59.7,0.69,4.68,-5.23,19.5,-11.86,6.2,138833.6,38.83,5.24,31.34,0.17,37,14,11,0
FORTIS.NS,3.0,5.0,62,59.7,0.94,4.63,-4.51,6.9,-7.44,8.9,167068.8,67.07,8.32,21.25,0.39,37,11,14,0
CHOLAFIN.NS,3.0,25.0,59,59.3,1.1,5.23,-4.91,19.5,-11.86,6.9,173713.1,73.71,8.98,30.4,0.3,35,0,24,0
CHOLAFIN.NS,3.0,10.0,59,59.3,1.1,5.23,-4.91,19.5,-11.86,6.9,173713.1,73.71,8.98,30.4,0.3,35,1,23,0
CHOLAFIN.NS,3.0,20.0,59,59.3,1.1,5.23,-4.91,19.5,-11.86,6.9,173713.1,73.71,8.98,30.4,0.3,35,0,24,0
CHOLAFIN.NS,3.0,15.0,59,59.3,1.1,5.23,-4.91,19.5,-11.86,6.9,173713.1,73.71,8.98,30.4,0.3,35,0,24,0
MUTHOOTFIN.NS,2.0,10.0,59,59.3,0.49,4.2,-4.92,11.21,-13.0,8.2,123786.45,23.79,3.38,23.98,0.14,34,1,24,0
BSE.NS,5.0,5.0,54,59.3,2.91,8.5,-5.24,22.84,-10.27,8.3,403585.84,303.59,24.26,19.29,1.26,31,17,6,0
MUTHOOTFIN.NS,2.0,25.0,59,59.3,0.49,4.2,-4.92,11.21,-13.0,8.2,123786.45,23.79,3.38,23.98,0.14,34,0,25,0
MUTHOOTFIN.NS,2.0,20.0,59,59.3,0.49,4.2,-4.92,11.21,-13.0,8.2,123786.45,23.79,3.38,23.98,0.14,34,0,25,0
MUTHOOTFIN.NS,2.0,15.0,59,59.3,0.49,4.2,-4.92,11.21,-13.0,8.2,123786.45,23.79,3.38,23.98,0.14,34,0,25,0
BHARTIARTL.NS,2.0,5.0,66,59.1,0.47,3.15,-3.41,6.53,-8.16,8.3,130437.44,30.44,4.22,23.96,0.18,37,5,24,0
CANBK.NS,2.0,5.0,61,59.0,0.37,4.03,-4.9,12.0,-8.12,5.9,116642.29,16.64,2.43,23.34,0.1,36,12,13,0
BAJFINANCE.NS,3.0,20.0,41,58.5,1.43,4.94,-3.53,8.09,-7.35,11.3,171586.61,71.59,8.77,17.72,0.49,24,0,17,0
BAJFINANCE.NS,3.0,10.0,41,58.5,1.43,4.94,-3.53,8.09,-7.35,11.3,171586.61,71.59,8.77,17.72,0.49,24,0,17,0
BAJFINANCE.NS,3.0,25.0,41,58.5,1.43,4.94,-3.53,8.09,-7.35,11.3,171586.61,71.59,8.77,17.72,0.49,24,0,17,0
BAJFINANCE.NS,3.0,15.0,41,58.5,1.43,4.94,-3.53,8.09,-7.35,11.3,171586.61,71.59,8.77,17.72,0.49,24,0,17,0
ABCAPITAL.NS,2.0,25.0,60,58.3,0.43,4.57,-5.37,11.29,-11.63,7.5,118607.45,18.61,2.69,34.71,0.08,35,0,25,0
ABCAPITAL.NS,2.0,15.0,60,58.3,0.43,4.57,-5.37,11.29,-11.63,7.5,118607.45,18.61,2.69,34.71,0.08,35,0,25,0
ABCAPITAL.NS,2.0,20.0,60,58.3,0.43,4.57,-5.37,11.29,-11.63,7.5,118607.45,18.61,2.69,34.71,0.08,35,0,25,0
ABCAPITAL.NS,2.0,10.0,60,58.3,0.43,4.57,-5.37,11.29,-11.63,7.5,118607.45,18.61,2.69,34.71,0.08,35,2,23,0
ASTERDM.NS,3.0,5.0,64,57.8,1.52,5.79,-4.34,17.06,-8.95,9.5,236483.7,136.48,14.34,24.66,0.58,36,14,13,1
INDIANB.NS,2.0,15.0,59,57.6,0.62,5.15,-5.54,17.48,-14.54,7.4,128544.35,28.54,3.99,23.52,0.17,35,0,24,0
INDIANB.NS,2.0,25.0,59,57.6,0.62,5.15,-5.54,17.48,-14.54,7.4,128544.35,28.54,3.99,23.52,0.17,35,0,24,0
INDIANB.NS,2.0,20.0,59,57.6,0.62,5.15,-5.54,17.48,-14.54,7.4,128544.35,28.54,3.99,23.52,0.17,35,0,24,0
INDIANB.NS,2.0,10.0,59,57.6,0.66,5.15,-5.44,17.48,-13.0,7.3,132065.5,32.07,4.42,22.73,0.19,35,2,22,0
BSE.NS,8.0,10.0,47,57.4,4.26,11.7,-5.78,21.88,-13.8,11.8,581285.96,481.29,31.52,26.89,1.17,25,1,21,0
BSE.NS,8.0,25.0,47,57.4,4.26,11.7,-5.78,21.88,-13.8,11.8,581285.96,481.29,31.52,26.89,1.17,25,0,22,0
CUMMINSIND.NS,5.0,20.0,47,57.4,2.15,7.07,-4.49,13.81,-14.72,11.7,246986.65,146.99,15.11,24.17,0.63,26,0,21,0
BSE.NS,8.0,20.0,47,57.4,4.26,11.7,-5.78,21.88,-13.8,11.8,581285.96,481.29,31.52,26.89,1.17,25,0,22,0
BSE.NS,8.0,15.0,47,57.4,4.26,11.7,-5.78,21.88,-13.8,11.8,581285.96,481.29,31.52,26.89,1.17,25,0,22,0
CUMMINSIND.NS,5.0,25.0,47,57.4,2.15,7.07,-4.49,13.81,-14.72,11.7,246986.65,146.99,15.11,24.17,0.63,26,0,21,0
